section_ID,area_pre,area_post2,area_change,scan_page_pre,scan_page_post2,threshold_post,notes_pre,notes_post2
11.9.10,3.586,3.574,-0.012,AV_Reduced_3of3_pre,AV_choice_post_scan6,155,,
11.9.2,3.567,3.544,-0.023,Control_Reduced_3of3_pre,AV_choice_post_scan7,155,,
11.9.3,3.571,3.188,-0.383,AV_Reduced_1of3_pre,AV_choice_post_scan3,155,,
11.9.4,3.543,3.339,-0.204,AV_Ambient_2of3_pre,AV_choice_post_scan5,0,,used polygon tool
11.9.5,3.508,3.546,0.038,Control_Reduced_1of3_pre,AV_choice_post_scan11,155,,
11.9.6,3.742,3.693,-0.049,Control_Reduced_3of3_pre,AV_choice_post_scan11,155,,
11.9.7,3.616,3.62,0.004,AV_Ambient_1of3_pre,AV_choice_post_scan5,125,,shadows
11.9.8,3.641,3.478,-0.163,AV_Ambient_3of3_pre,AV_choice_post_scan3,138,,grazing and shadow
11.9.9,3.641,3.629,-0.012,Control_Ambient_2of3_pre,AV_choice_post_scan10,129,,shadows
13.1.1,3.881,3.955,0.074,Control_Ambient_3of3_pre,AV_choice_post_scan9,155,,
13.1.10,3.855,3.894,0.039,Control_Reduced_2of3_pre,AV_choice_post_scan11,0,,dust; used polygon tool
13.1.2,3.891,3.906,0.015,Control_Ambient_1of3_pre,AV_choice_post_scan7,155,,
13.1.3,4.003,3.389,-0.614,AV_Reduced_2of3_pre,AV_choice_post_scan2,142,,grazing
13.1.4,4.103,4.123,0.02,AV_Ambient_2of3_pre,AV_choice_post_scan5,140,,shadows
13.1.5,3.948,4.001,0.053,AV_Reduced_1of3_pre,AV_choice_post_scan7,155,,
13.1.6,3.991,3.377,-0.614,AV_Ambient_3of3_pre,AV_choice_post_scan1,155,,
13.1.7,3.934,3.901,-0.033,AV_Reduced_2of3_pre,AV_choice_post_scan1,155,,
13.1.8,3.99,4.017,0.027,Control_Ambient_2of3_pre,AV_choice_post_scan7,155,,
13.1.9,3.995,3.312,-0.683,AV_Ambient_1of3_pre,AV_choice_post_scan6,155,,
13.6.1,3.692,3.672,-0.02,AV_Reduced_2of3_pre,AV_choice_post_scan4,155,,
13.6.10,2.971,3.016,0.045,Control_Reduced_3of3_pre,AV_choice_post_scan12,155,really short segment - see post,
13.6.2,3.696,3.75,0.054,AV_Ambient_3of3_pre,AV_choice_post_scan4,155,,
13.6.3,3.546,3.562,0.016,AV_Ambient_2of3_pre,AV_choice_post_scan3,155,,
13.6.4,3.668,3.769,0.101,Control_Reduced_1of3_pre,AV_choice_post_scan11,0,,watermarks; used polygon tool
13.6.5,3.749,3.78,0.031,AV_Ambient_2of3_pre,AV_choice_post_scan4,139,,shadows
13.6.6,3.715,3.739,0.024,AV_Reduced_3of3_pre,AV_choice_post_scan4,155,,
13.6.7,3.837,3.882,0.045,Control_Ambient_2of3_pre,AV_choice_post_scan10,155,,
13.6.8,3.652,3.708,0.056,Control_Reduced_2of3_pre,AV_choice_post_scan8,139,,shadows
13.6.9,3.713,3.353,-0.36,AV_Reduced_3of3_pre,AV_choice_post_scan6,150,,shadows
15.6.1,3.319,3.351,0.032,AV_Reduced_1of3_pre,AV_choice_post_scan3,138,,shadows
15.6.10,3.287,3.326,0.039,Control_Ambient_2of3_pre,AV_choice_post_scan9,155,,
15.6.2,3.343,2.962,-0.381,AV_Ambient_3of3_pre,AV_choice_post_scan4,155,,
15.6.3,3.36,3.387,0.027,Control_Reduced_3of3_pre,AV_choice_post_scan12,125,,shadows
15.6.4,3.442,3.432,-0.01,Control_Ambient_1of3_pre,AV_choice_post_scan10,155,,
15.6.5,3.318,3.148,-0.17,AV_Ambient_2of3_pre,AV_choice_post_scan4,0,,shadows and grazing; used polygon tool
